Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-04-27,North Hollywood,2021,https://boxd.it/1P6q5F,3,,"Shots=great
Story=not*shots",,
2021-07-15,Revolutionary Road,2008,https://boxd.it/1ZFs4T,3,,Grandpapa  a savage at the end,,2021-07-14
2021-07-16,A Hard Day,2014,https://boxd.it/1ZSPx1,3.5,,grim reaper failed :(,,
2021-07-18,Memories of Murder,2003,https://boxd.it/207TCT,4,,Jump kicks go crazy in this one,,2021-07-17
2021-07-18,Black Swan,2010,https://boxd.it/20cmVX,4.5,,golly this scared me,,
2021-07-20,If Anything Happens I Love You,2020,https://boxd.it/20skFP,2.5,,Made me cry but reminded me of those try not to cry compilations on yt,,2021-07-19
2021-07-23,Twilight,2008,https://boxd.it/20WnL7,4,,Robert is hawt,,2021-07-22
2021-07-25,A Whisker Away,2020,https://boxd.it/219l4V,3,,Why is it sexual,,2021-07-24
2021-07-25,Mother,2009,https://boxd.it/21bzRV,3,,White gloves the way to go,,2021-07-24
2021-08-05,The Twilight Saga: New Moon,2009,https://boxd.it/22PxUH,,,Ahhh short hair jakey,,2021-08-04
2021-08-06,A Quiet Place Part II,2020,https://boxd.it/22YoJD,2.5,,But like please no third movie ... please,,2021-08-05
2021-08-11,mother!,2017,https://boxd.it/23I1qF,3.5,,Reminder : Never open the door,,2021-08-10
2021-08-14,Awake,2021,https://boxd.it/249cT3,2.5,,Did the same thing as these people about two summers ago,,2021-08-13
2021-08-14,Phone Booth,2002,https://boxd.it/249dhf,2.5,,One location movies scare me,,2021-08-13
2021-08-14,Marie Antoinette,2006,https://boxd.it/24aqSl,3.5,,so beautiful yet so boring,,
2021-08-17,The Twilight Saga: Eclipse,2010,https://boxd.it/24BWyV,,,I hate Bella and edward,,2021-08-16
2021-08-18,The Twilight Saga: Breaking Dawn - Part 1,2011,https://boxd.it/24Jpht,,,Why she so horny,,2021-08-17
2021-08-18,The Twilight Saga: Breaking Dawn - Part 2,2012,https://boxd.it/24KiFF,,,Ok but the fight vision scene,,2021-08-17
2021-08-18,Trainspotting,1996,https://boxd.it/24M2xz,4,,viva ireland,,
2021-08-23,Isle of Dogs,2018,https://boxd.it/25qdhd,4.5,,Those glistening snouts,,2021-08-22
2021-09-08,The Squid and the Whale,2005,https://boxd.it/27MHcz,5,,Does anyone know why the book covers are a bit crusty,,2021-09-08
2021-09-13,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/28qI3D,3,,"Payed $13 to fall asleep halfway
I like the asians tho",,2021-09-12
2021-10-04,Annette,2021,https://boxd.it/2be5mf,2.5,,Watching This made me love LA la land so much more,,2021-10-03
2021-10-16,Trees Lounge,1996,https://boxd.it/2cZTnv,3,,Wasting away is not my type of thing,,2021-10-15
2021-10-18,Prometheus,2012,https://boxd.it/2djKef,3,,Lots of lazy god references,,2021-10-17
2021-10-20,Bottle Rocket,1994,https://boxd.it/2dGiCz,3,,They are all babies in this lol,,2021-10-19
2021-10-21,Thirteen,2003,https://boxd.it/2dSuoj,4.5,,Honestly a good quarantine would have changed them so quick,,2021-10-20
2021-10-23,Se7en,1995,https://boxd.it/2e88Hv,4.5,,Short hair Brad is hot,,2021-10-22
2021-10-23,Alien³,1992,https://boxd.it/2e8JB5,2,,Um no,,2021-10-22
2021-11-01,"Girl, Interrupted",1999,https://boxd.it/2fy3zH,3,,PUSH MY BUTTONS,,2021-10-31
2021-11-06,The Seventh Seal,1957,https://boxd.it/2glemx,3.5,,When ur husband is a schizo,,2021-11-05
2021-11-09,The French Dispatch,2021,https://boxd.it/2gVGvJ,4,,Giving strong bound 2 vibes,,2021-11-08
2021-11-14,All Too Well: The Short Film,2021,https://boxd.it/2hB5xn,4.5,,I remember 😶‍🌫️ It all too well,,2021-11-13
2021-11-20,Fantastic Mr. Fox,2009,https://boxd.it/2ixLar,4,,I hope to earn a bandit hat one day,,2021-11-19
2021-11-20,Léon: The Professional,1994,https://boxd.it/2iD7X1,4,,"Mr Leon is great
Mr Leon is good
Mr Leon never lies 😉",,2021-11-19
2021-11-26,Project X,2012,https://boxd.it/2jsfPB,3.5,,What happened to this genre of nerd hosts party and now everyone thinks he’s cool,,2021-11-25
2021-11-28,Little Miss Sunshine,2006,https://boxd.it/2jSg4j,4,,Paul Dano is so hot in this,,2021-11-28
2021-12-07,The Godfather,1972,https://boxd.it/2l8wYj,4.5,,Connie is a silly girl,,2021-12-06
2021-12-20,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/2nis8h,4.5,,i didn't know that charlie kaufman is 5 ft 4 in,,
2021-12-25,The Matrix,1999,https://boxd.it/2oeBwX,4,,Solid,,2021-12-24
2021-12-27,The Matrix Reloaded,2003,https://boxd.it/2oGYN9,4,,my mom keeps saying trinity is the luckiest woman ever in this ,,
2021-12-28,The Matrix Revolutions,2003,https://boxd.it/2oZDAV,4,,This was literally a Superman movie,,2021-12-27
2021-12-28,The Matrix Resurrections,2021,https://boxd.it/2p0itB,3,,Everything that’s good must come to an end or something like that,,2021-12-27
2021-12-30,Mad Max: Fury Road,2015,https://boxd.it/2puFKv,4,,#Fierce,,2021-12-29
2021-12-30,Don't Look Up,2021,https://boxd.it/2pvP47,4,,Melancholia but in Michigan,,2021-12-29
2021-12-30,Licorice Pizza,2021,https://boxd.it/2pBP0V,5,,"FRICK, I love pta",,2021-12-29
2021-12-31,Spider-Man: No Way Home,2021,https://boxd.it/2pV41d,3.5,,It is what it is,,2021-12-30
2022-01-02,The Chaser,2008,https://boxd.it/2qtllR,4,,how does the bathroom get that dirty,,2022-01-01
2022-01-04,Tenet,2020,https://boxd.it/2r5zTT,3.5,,The only takeaway I had: Elizabeth debicki is tall,,2022-01-03
2022-01-18,Dune,2021,https://boxd.it/2uELLz,3.5,,I like the music I guess,,2022-01-17
2022-01-25,No Country for Old Men,2007,https://boxd.it/2w66uR,3,,Snoozeeee,,2022-01-24
2022-02-02,Hustlers,2019,https://boxd.it/2xKrUv,3.5,,How does Jlo still look so good at her age,,
2022-02-05,The Day After,2017,https://boxd.it/2yhoUt,4,,"hhs is a prick!
cheating is not cool!
every single movie he makes is about a washed up guy cheating on his s.o.


and I keep coming back to watch",,
2022-02-06,EXIT,2019,https://boxd.it/2yr0C1,3.5,,Alex hannold during the end of the world be like,,2022-02-05
2022-02-06,Happily Ever After,2004,https://boxd.it/2ysF5p,3.5,,fifthly beasts us humans are,,
2022-02-11,Oldboy,2003,https://boxd.it/2zn529,4,,I would have enjoyed this a lot more if I wasn't told the plot three times by my family,,
2022-02-22,The Holy Mountain,1973,https://boxd.it/2BmgVZ,2.5,,My planet is Your Anus,,2022-02-21
2022-02-25,Coffee and Cigarettes,2003,https://boxd.it/2BXYcj,4.5,,"Diners and big tobacco, this is how you guys should be advertising",,2022-02-25
2022-02-27,The Son's Room,2001,https://boxd.it/2CjekP,3,,mi amore andrea :(( mi amore~~ :(,,
2022-02-28,The Worst Person in the World,2021,https://boxd.it/2CtBDF,4,,Really the worst person in the world!,,2022-02-27
2022-03-03,Antichrist,2009,https://boxd.it/2CRGV3,3.5,,"never marry a therapist
never sleep with a therapist",,
2022-03-13,Dunkirk,2017,https://boxd.it/2EPZcF,3,,Charlie Chaplin vibes in this are strong,,2022-03-12
2022-03-15,Drive My Car,2021,https://boxd.it/2FbT4T,2.5,,"Car and shots are cute

But so flat

I can’t believe I actually finished it",,2022-03-14
2022-03-15,The 39 Steps,1935,https://boxd.it/2FiFUP,3,,i just cant with anything made before the 50s,,
2022-03-17,Good Will Hunting,1997,https://boxd.it/2FEH6r,4,,how i feel when i tutor algebra,,
