Logged_Date,Name,Year,id,original_language,overview,popularity,vote_average,vote_count,revenue,runtime,tagline,Rating,Review,Logged_DOW,Logged_Month,Logged_Year,Logged_Week,Daily_Movie_Count,Weekly_Movie_Count,Drama,Comedy,Romance,Fantasy,Adventure,Action,Crime,Thriller,History,Documentary,Horror,Music,Mystery,Sci_Fi,War,Western,Animation,Rom_Com
2020-08-01,Lady Bird,2017,391713,en,"Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.",29.123,7.3,7135.0,78966486,94,Fly Away Home.,0.0,0,6,8,2020,31,135,135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,The Florida Project,2017,394117,en,"The story of a precocious six year-old and her ragtag group of friends whose summer break is filled with childhood wonder, possibility and a sense of adventure while the adults around them struggle with hard times.",17.422,7.4,2243.0,11303040,112,Welcome to a magical kingdom,0.0,0,6,8,2020,31,135,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,Swiss Army Man,2016,347031,en,"Alone on a tiny deserted island, Hank has given up all hope of ever making it home again. But one day everything changes when a dead body washes ashore, and he soon realizes it may be his last opportunity to escape certain death. Armed with his new “friend” and an unusual bag of tricks, the duo go on an epic adventure to bring Hank back to the woman of his dreams.",21.502,6.9,2915.0,4900000,97,We all need somebody to lean on.,0.0,0,6,8,2020,31,135,135,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-08-01,Kick-Ass,2010,23483,en,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",51.38,7.1,10225.0,96188903,117,Shut up. Kick-Ass.,0.0,0,6,8,2020,31,135,135,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,Hot Summer Nights,2017,347866,en,"A teen winds up in over his head while dealing drugs with a rebellious partner and chasing the young man's enigmatic sister during the summer of 1991 that he spends on Cape Cod, Massachusetts.",12.45,6.7,561.0,0,107,One summer can change everything.,0.0,0,6,8,2020,31,135,135,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,Paterson,2016,370755,en,"A week in the life of Paterson, a poet bus driver, and his wife Laura, a very creative artist, who live in Paterson, New Jersey, hometown of many famous poets and artists.",11.475,7.1,1521.0,2152738,118,,0.0,0,6,8,2020,31,135,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-08-01,Pulp Fiction,1994,680,en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",67.171,8.5,23503.0,214179088,154,Just because you are a character doesn't mean you have character.,0.0,0,6,8,2020,31,135,135,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-08-01,The Spy Who Dumped Me,2018,454992,en,Best friends Audrey and Morgan unwittingly become entangled in an international conspiracy when Audrey’s ex-boyfriend shows up at their apartment with a team of deadly assassins on his trail.,21.343,6.4,1938.0,33562069,117,They got this.,0.0,0,6,8,2020,31,135,135,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,mid90s,2018,437586,en,"Stevie is a sweet 13-year-old about to explode. His mom is loving and attentive, but a little too forthcoming about her romantic life. His big brother is a taciturn and violent bully. So Stevie searches his working-class Los Angeles suburb for somewhere to belong. He finds it at the Motor Avenue skate shop.",15.315,7.5,1201.0,6897446,86,fall. get back up.,0.0,0,6,8,2020,31,135,135,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,Beautiful Boy,2018,451915,en,"After he and his first wife separate, journalist David Sheff struggles to help their teenage son, who goes from experimenting with drugs to becoming devastatingly addicted to methamphetamine.",17.755,7.6,1918.0,7649973,121,,0.0,0,6,8,2020,31,135,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
